Date	Block	T1N2O	T2N2O	T3N2O	T4N2O	T5N2O	T6N2O	T7N2O	T8N2O	T9N2O	T1CumN2O	T2CumN2O	T3CumN2O	T4CumN2O	T5CumN2O	T6CumN2O	T7CumN2O	T8CumN2O	T9CumN2O	T1pH	T2pH	T3pH	T4pH	T5pH	T6pH	T7pH	T8pH	T9pH
10/10/2011	2	0.000690828	0.024779053	0.01433375	0.004516032	0.016087462	0.002279686	0.000221608	0.018298314	0.004852654	0.0871	0.8038	0.5234	0.2329	0.8580	0.3610	0.2034	0.7904	0.4778	*	*	*	*	*	*	*	*	*
21/10/2011	2	0.001599956	0.024037196	0.012275015	0.001634705	0.029844766	0.000968508	0.001606718	0.011715391	0.02064067	0.0887	0.8279	0.5356	0.2346	0.8878	0.3620	0.2050	0.8021	0.4985	5.8000	6.3800	6.3900	5.8700	6.3000	6.2700	5.8200	6.0100	6.0700
28/10/2011	2	0.004079731	0.016739137	0.016473473	0.005425934	0.027662236	0.016064142	0.008622146	0.01958982	0.032232245	0.0928	0.8446	0.5521	0.2400	0.9155	0.3781	0.2136	0.8217	0.5307	*	*	*	*	*	*	*	*	*
3/11/2011	2	0.001839404	0.005994045	0.038733984	0.002863745	0.010322266	0.004232241	0.001907604	0.012409316	0.001906018	0.0947	0.8506	0.5908	0.2429	0.9258	0.3823	0.2155	0.8341	0.5326	*	*	*	*	*	*	*	*	*
10/11/2011	2	0.006890528	0.007342474	0.02545352	0.01024449	0.027740952	0.030644358	0.013877138	0.016442241	0.082186594	0.1015	0.8579	0.6163	0.2531	0.9536	0.4130	0.2294	0.8505	0.6148	6.2300	6.2700	5.7100	6.2100	6.3100	5.7800	6.1700	5.6200	5.4600
17/11/2011	2	0.000479332	0.003893847	0.003140737	0.002638213	0.007784342	0.000832976	0.001162261	0.010164251	0.00705278	0.1020	0.8618	0.6194	0.2558	0.9614	0.4138	0.2305	0.8607	0.6219	*	*	*	*	*	*	*	*	*
1/12/2011	2	0.001787406	0.004197236	0.00302004	0.000809233	0.00695019	0.001928877	0.000301754	0.008843998	0.004822066	0.1038	0.8660	0.6225	0.2566	0.9683	0.4157	0.2308	0.8695	0.6267	*	*	*	*	*	*	*	*	*
6/12/2011	2	0.002488966	0.012212859	0.001243938	-0.000627045	0.022166787	0.006800125	0.017468731	0.001482643	0.007077668	0.1063	0.8782	0.6237	0.2559	0.9905	0.4225	0.2483	0.8710	0.6338	5.9100	6.2600	6.4700	7.1800	6.0100	5.5100	6.0000	6.4700	6.5800
8/12/2011	2	0.003210116	0.003956073	0.003722028	0.003663165	0.009333962	0.003969239	0.001832658	0.01190671	0.010599647	0.1095	0.8822	0.6274	0.2596	0.9998	0.4265	0.2501	0.8829	0.6444	*	*	*	*	*	*	*	*	*
16/12/2011	2	0.00286668	0.009480409	0.003258676	0.006924648	0.017415302	0.005194227	0.006705214	0.013072828	0.089258356	0.1124	0.8917	0.6307	0.2665	1.0172	0.4317	0.2569	0.8960	0.7336	5.9800	6.0300	6.2600	6.7900	6.2100	6.1600	5.6800	6.4300	6.3100
23/12/2011	2	0.001095565	0.00316503	0.01648723	0.002011986	0.017093519	0.006075646	0.003649249	0.012832828	0.021025588	0.1135	0.8948	0.6472	0.2685	1.0343	0.4378	0.2605	0.9088	0.7546	*	*	*	*	*	*	*	*	*
12/01/2012	2	0.001485047	0.002005034	0.012235265	0.001853621	0.003701611	0.003526289	0.00155564	0.008474677	0.00901282	0.1150	0.8968	0.6594	0.2704	1.0380	0.4413	0.2621	0.9173	0.7637	*	*	*	*	*	*	*	*	*
19/01/2012	2	0.002176436	0.003542956	0.002770667	0.001493525	0.001035608	0.004536889	0.000768879	0.005514176	0.006051467	0.1171	0.9004	0.6622	0.2719	1.0391	0.4458	0.2628	0.9228	0.7697	5.7900	6.2600	6.1800	6.0500	5.8800	6.4600	5.7600	6.0700	5.5300
26/01/2012	2	0.002917706	0.00071533	0.003406391	0.000768347	0.002126911	0.008001124	0.001822022	0.001544214	0.004098396	0.1200	0.9011	0.6656	0.2727	1.0412	0.4538	0.2646	0.9243	0.7738	*	*	*	*	*	*	*	*	*
9/02/2012	2	0.001377788	0.001080195	0.003150724	0.001461194	0.00310448	0.004039411	0.001198923	0.005392345	0.004572486	0.1214	0.9022	0.6687	0.2741	1.0443	0.4579	0.2658	0.9297	0.7784	*	*	*	*	*	*	*	*	*
16/02/2012	2	0.005822037	0.004510506	0.025472794	0.005798314	0.00796916	0.009996889	0.006711729	0.011900638	0.032757738	0.1272	0.9067	0.6942	0.2799	1.0523	0.4679	0.2726	0.9416	0.8111	*	*	*	*	*	*	*	*	*
28/02/2012	2	0.001269361	0.00139329	0.002654119	0.001809801	0.001765311	0.005733177	0.005606607	0.003885698	0.003749421	0.1285	0.9081	0.6969	0.2817	1.0540	0.4736	0.2782	0.9455	0.8149	*	*	*	*	*	*	*	*	*
23/02/2011	3	0.00171505	0.00415805	0.004069518	0.005376168	0.004173693	0.006429596	0.004702896	0.011805255	0.012536981	0.0017	0.0042	0.0041	0.0054	0.0042	0.0064	0.0047	0.0118	0.0125	*	*	*	*	*	*	*	*	*
25/02/2011	3	0.001329639	0.00285688	0.00151233	0.003054427	0.002696654	0.004084478	0.001632562	0.004468033	0.008850885	0.0030	0.0070	0.0056	0.0084	0.0069	0.0105	0.0063	0.0163	0.0214	*	*	*	*	*	*	*	*	*
1/03/2011	3	0.001363067	0.001777652	0.001167668	0.001449654	0.001191898	0.00357648	0.001031981	0.001810081	0.005931479	0.0044	0.0088	0.0067	0.0099	0.0081	0.0141	0.0074	0.0181	0.0273	*	*	*	*	*	*	*	*	*
4/03/2011	3	0.000827107	0.002000246	0.001543556	0.00211056	0.003953787	0.003362437	0.001565131	0.001671591	0.008289972	0.0052	0.0108	0.0083	0.0120	0.0120	0.0175	0.0089	0.0198	0.0356	*	*	*	*	*	*	*	*	*
10/03/2011	3	0.001458274	0.002074839	0.002516477	0.002800539	0.001766369	0.003315912	0.001821316	0.002391073	0.005507734	0.0067	0.0129	0.0108	0.0148	0.0138	0.0208	0.0108	0.0221	0.0411	*	*	*	*	*	*	*	*	*
16/03/2011	3	0.002450605	0.00211141	0.001647649	0.002081791	0.002605467	0.002901371	0.00161803	0.001996928	0.005630398	0.0091	0.0150	0.0125	0.0169	0.0164	0.0237	0.0124	0.0241	0.0467	*	*	*	*	*	*	*	*	*
28/03/2011	3	0.004318912	0.004583417	0.005848108	0.004632374	0.004014065	0.010044825	0.004200196	0.005423034	0.006236862	0.0135	0.0196	0.0183	0.0215	0.0204	0.0337	0.0166	0.0296	0.0530	*	*	*	*	*	*	*	*	*
29/03/2011	3	0.003224107	0.005751743	0.004654506	0.006515036	0.005096372	0.014450089	0.008359523	0.008669391	0.009137147	0.0167	0.0253	0.0230	0.0280	0.0255	0.0482	0.0249	0.0382	0.0621	*	*	*	*	*	*	*	*	*
31/03/2011	3	0.002366819	0.004557833	0.003121608	0.003393249	0.003056136	0.00977058	0.003909316	0.004567998	0.006677573	0.0191	0.0299	0.0261	0.0314	0.0286	0.0579	0.0288	0.0428	0.0688	*	*	*	*	*	*	*	*	*
5/04/2011	3	0.002858309	0.001134072	0.006658489	0.004599872	0.004007252	0.007765024	0.009077491	0.00536481	0.008252323	0.0219	0.0310	0.0327	0.0360	0.0326	0.0657	0.0379	0.0482	0.0771	*	*	*	*	*	*	*	*	*
8/04/2011	3	0.002082452	0.002345749	0.003496722	0.002143664	0.000762552	0.004676316	0.000414817	0.002051973	0.003930555	0.0240	0.0334	0.0362	0.0382	0.0333	0.0704	0.0383	0.0502	0.0810	*	*	*	*	*	*	*	*	*
14/04/2011	3	0.003213365	0.003055781	0.002008167	0.002110192	0.001601536	0.003142123	0.002586519	0.002246666	0.003358377	0.0272	0.0364	0.0382	0.0403	0.0349	0.0735	0.0409	0.0525	0.0843	*	*	*	*	*	*	*	*	*
21/04/2011	3	0.001392184	0.001888251	0.001632524	0.0019287	0.000496581	0.002151953	0.001265385	0.001018509	0.001208616	0.0286	0.0383	0.0399	0.0422	0.0354	0.0757	0.0422	0.0535	0.0855	*	*	*	*	*	*	*	*	*
28/04/2011	3	0.000110794	0.0017468	0.001846606	0.003027597	0.002060588	0.001348395	0.002049857	0.000980184	0.001651311	0.0287	0.0400	0.0417	0.0452	0.0375	0.0770	0.0442	0.0545	0.0872	*	*	*	*	*	*	*	*	*
5/05/2011	3	0.002708127	0.050458789	0.002469129	0.00616104	0.032582307	0.009794644	0.013851437	0.021844569	0.013352931	0.0314	0.0905	0.0442	0.0514	0.0701	0.0868	0.0581	0.0763	0.1006	*	*	*	*	*	*	*	*	*
10/05/2011	3	0.001689135	0.077501636	0.00200849	0.002074793	0.033301459	0.005531844	0.006219736	0.053697608	0.005430575	0.0331	0.1680	0.0462	0.0535	0.1034	0.0923	0.0643	0.1300	0.1060	*	*	*	*	*	*	*	*	*
12/05/2011	3	0.002869854	0.248771199	0.026365977	0.003770052	0.123338127	0.005573654	0.009444788	0.061152507	0.011914711	0.0360	0.4168	0.0726	0.0572	0.2267	0.0979	0.0738	0.1912	0.1179	*	*	*	*	*	*	*	*	*
17/05/2011	3	0.001924341	0.033610412	0.004763458	0.027964664	0.084909791	0.003216527	0.004552937	0.139099063	0.003569377	0.0379	0.4504	0.0773	0.0852	0.3116	0.1011	0.0783	0.3303	0.1215	*	*	*	*	*	*	*	*	*
19/05/2011	3	0.000681623	0.055088309	0.001188682	0.001282353	0.03552976	0.001843493	0.0030447	0.04772746	0.001417565	0.0386	0.5055	0.0785	0.0865	0.3471	0.1030	0.0813	0.3780	0.1229	*	*	*	*	*	*	*	*	*
27/05/2011	3	0.073615749	0.001713395	0.001265599	0.063751674	0.000860419	0.000707594	0.004478576	0.000768263	0.031917156	0.1122	0.5072	0.0798	0.1502	0.3480	0.1037	0.0858	0.3788	0.1548	*	*	*	*	*	*	*	*	*
1/06/2011	3	-3.60353E-05	0.022178763	0.00025637	0.002716927	0.016849737	0.003363153	0.003970644	0.054261178	0.005205759	0.1122	0.5294	0.0800	0.1529	0.3649	0.1071	0.0898	0.4330	0.1600	*	*	*	*	*	*	*	*	*
3/06/2011	3	0.000207031	0.013446822	0.000369092	0.001498881	0.011321603	0.001700812	0.002334571	0.041761688	0.003218243	0.1124	0.5428	0.0804	0.1544	0.3762	0.1088	0.0921	0.4748	0.1632	*	*	*	*	*	*	*	*	*
7/06/2011	3	0.002983306	0.026755015	0.002968087	0.005597452	0.022746363	0.007123979	0.011050895	0.061783001	0.010888846	0.1154	0.5696	0.0834	0.1600	0.3989	0.1159	0.1032	0.5366	0.1741	*	*	*	*	*	*	*	*	*
9/06/2011	3	0.000792443	0.038059736	0.001583519	0.003256612	0.025706284	0.007043928	0.005307292	0.069951146	0.01201219	0.1161	0.6076	0.0850	0.1633	0.4246	0.1229	0.1085	0.6065	0.1861	*	*	*	*	*	*	*	*	*
16/06/2011	3	0.000945679	0.013102008	0.001866732	0.002033501	0.006810934	0.002456164	0.001738141	0.02233483	0.00483253	0.1171	0.6207	0.0868	0.1653	0.4314	0.1254	0.1102	0.6288	0.1910	*	*	*	*	*	*	*	*	*
23/06/2011	3	0.00054928	0.008530918	0.002125867	0.00197678	0.005105893	0.002113041	0.003014365	0.01692512	0.001299647	0.1176	0.6293	0.0890	0.1673	0.4365	0.1275	0.1132	0.6458	0.1923	*	*	*	*	*	*	*	*	*
30/06/2011	3	0.002908653	0.008720453	0.000891316	0.003928258	0.004798925	0.002742113	0.003321449	0.013505786	0.005263266	0.1205	0.6380	0.0898	0.1712	0.4413	0.1302	0.1166	0.6593	0.1975	*	*	*	*	*	*	*	*	*
8/07/2011	3	0.000374687	0.018416634	0.00046817	0.008570999	0.008105094	0.003007397	0.001315558	0.029704949	0.001554445	0.2415	1.3001	0.1804	0.3586	0.8928	0.2655	0.2355	1.3626	0.3977	5.8500	5.8600	6.0600	5.7100	5.5400	5.9500	5.7700	6.0000	6.1200
28/07/2011	3	0.000362741	0.013760104	0.001945806	0.001901602	0.00710884	0.001297407	0.000991002	0.014066051	0.001016935	0.1213	0.6702	0.0923	0.1817	0.4566	0.1345	0.1189	0.7030	0.2001	5.6800	5.9500	6.0900	5.7600	5.7100	5.9400	6.2300	5.6700	5.6500
4/08/2011	3	0.00016353	0.016095902	0.000101936	0.001147047	0.012142834	0.00057238	0.000845385	0.013198749	0.001172051	0.1215	0.6863	0.0924	0.1829	0.4687	0.1351	0.1197	0.7162	0.2013	5.7700	5.8700	5.2000	5.6700	6.0200	5.8000	5.7900	5.7200	5.7300
11/08/2011	3	0.000510296	0.014237573	0.000479987	0.001245999	0.00867851	0.000941077	0.000836948	0.014488189	0.001137004	0.1220	0.7005	0.0928	0.1841	0.4774	0.1360	0.1206	0.7307	0.2024	5.8000	5.8100	5.7400	6.1500	5.6500	5.7800	5.9400	5.9200	5.7500
17/08/2011	3	0.000750265	0.018600292	0.001971315	0.001826617	0.014943627	0.002673931	0.002802357	0.013016294	0.00221656	0.1227	0.7191	0.0948	0.1859	0.4923	0.1387	0.1234	0.7438	0.2046	5.8000	5.3000	6.0300	5.5700	5.3800	5.5300	5.7700	5.4500	5.7300
24/08/2011	3	0.000442253	0.018850678	4.10998E-05	0.001150815	0.016595936	0.000996626	0.004739233	0.01154413	0.000771302	0.1232	0.7379	0.0949	0.1871	0.5089	0.1397	0.1281	0.7553	0.2054	*	*	*	*	*	*	*	*	*
1/09/2011	3	0.000443012	0.017949095	0.002737652	0.003672269	0.0107293	0.001931722	0.004029661	0.019486252	0.003558274	0.1236	0.7559	0.0976	0.1908	0.5196	0.1417	0.1321	0.7748	0.2089	6.2600	6.1000	8.0500	7.5200	6.2100	8.1800	7.3100	8.1700	8.2100
5/09/2011	3	0.000139678	0.014435133	0.026214704	0.002133249	0.0109155	0.027394001	0.002865832	0.015705033	0.023810157	0.1237	0.7703	0.1238	0.1929	0.5306	0.1690	0.1350	0.7905	0.2328	6.0300	5.8800	7.6200	6.1200	6.1400	7.1700	6.5500	5.4500	7.0900
8/09/2011	3	0.000982325	0.014425819	0.03638167	0.001651112	0.009790964	0.033354076	0.003941466	0.011153093	0.024201049	0.1247	0.7848	0.1602	0.1945	0.5404	0.2024	0.1389	0.8016	0.2570	5.9600	6.1700	6.7600	6.0600	5.7200	6.8100	6.1400	6.0500	6.1400
13/09/2011	3	0.000279963	0.006406875	0.120791497	0.005368454	0.027213812	0.13969065	0.005163862	0.030459465	0.069854273	0.1250	0.7912	0.2810	0.1999	0.5676	0.3421	0.1441	0.8321	0.3268	5.9600	5.8500	5.6400	5.8700	6.6400	6.0900	6.0600	6.2400	5.4300
22/09/2011	3	0.003921908	0.018970205	0.040177504	0.001871928	0.016967047	0.032549637	0.002835278	0.008403245	0.027983434	0.1289	0.8101	0.3212	0.2018	0.5845	0.3746	0.1469	0.8405	0.3548	*	*	*	*	*	*	*	*	*
29/09/2011	3	0.002013801	0.017260443	0.041438998	0.002533297	0.016539562	0.021666478	0.004146689	0.007917727	0.021668166	0.1309	0.8274	0.3626	0.2043	0.6011	0.3963	0.1511	0.8484	0.3765	5.8500	6.0800	6.0700	6.6100	6.6300	6.3600	6.6700	7.0300	6.2200
3/10/2011	3	0.002117981	0.01857484	0.191678815	0.004932426	0.012029033	0.123487555	0.013152436	0.020805848	0.025355026	0.1331	0.8460	0.5543	0.2092	0.6131	0.5198	0.1642	0.8692	0.4018	5.9000	6.2700	6.0000	6.0000	6.7600	6.2900	6.4400	6.3100	6.5000
6/10/2011	3	0.000739016	0.012917437	0.045261086	0.003403642	0.01279783	0.064978159	0.005782705	0.012367083	0.036817883	0.1338	0.8589	0.5995	0.2126	0.6259	0.5848	0.1700	0.8816	0.4386	5.9500	5.8100	5.3700	5.3100	6.1500	6.0800	5.8700	5.8100	5.2000
10/10/2011	3	0.000230664	0.021563412	0.023479255	0.002329499	0.014076152	0.015398849	0.002765448	0.005689498	0.018239881	0.1340	0.8804	0.6230	0.2150	0.6400	0.6002	0.1728	0.8873	0.4569	*	*	*	*	*	*	*	*	*
21/10/2011	3	0.000767241	0.017714572	0.018930629	0.002951604	0.013852433	0.023917599	0.002475232	0.002784358	0.02020096	0.1348	0.8982	0.6419	0.2179	0.6538	0.6241	0.1753	0.8901	0.4771	5.6200	6.2800	6.2400	5.6200	6.0300	5.9000	5.8800	6.3000	5.9700
28/10/2011	3	0.002606417	0.015939376	0.012899051	0.005587188	0.016557283	0.021376614	0.007142078	0.011805838	0.017085545	0.1374	0.9141	0.6548	0.2235	0.6704	0.6455	0.1824	0.9019	0.4942	*	*	*	*	*	*	*	*	*
3/11/2011	3	0.000903751	0.008887871	0.018960325	0.001083729	0.009474169	0.010192942	0.00052572	0.003733336	0.011248317	0.1383	0.9230	0.6738	0.2246	0.6799	0.6557	0.1829	0.9056	0.5054	*	*	*	*	*	*	*	*	*
10/11/2011	3	0.005675246	0.008098355	0.005559786	0.017744713	0.01734138	0.038275353	0.020359606	0.02199753	0.042781264	0.1440	0.9311	0.6794	0.2423	0.6972	0.6939	0.2033	0.9276	0.5482	5.6000	6.0400	6.3100	6.6100	6.2300	5.9800	6.5000	5.1900	5.9800
17/11/2011	3	0.001528671	0.009089283	0.007368396	0.004139486	0.008920281	0.003866724	0.002670633	0.00233438	0.005067913	0.1455	0.9402	0.6867	0.2465	0.7061	0.6978	0.2060	0.9299	0.5533	*	*	*	*	*	*	*	*	*
1/12/2011	3	0.001004969	0.003142007	0.002964659	0.00078776	0.006228536	0.002690861	0.000588267	0.000744633	0.004879287	0.1465	0.9433	0.6897	0.2473	0.7124	0.7005	0.2065	0.9307	0.5581	*	*	*	*	*	*	*	*	*
6/12/2011	3	0.000397194	0.004013962	0.019207275	0.01218829	0.031791705	0.038463613	0.041431654	0.03590446	0.044165124	0.1469	0.9473	0.7089	0.2595	0.7441	0.7390	0.2480	0.9666	0.6023	5.9400	6.3800	6.3500	6.9600	6.2200	5.1400	6.5600	6.2900	6.6400
8/12/2011	3	0.001100304	0.002842475	0.008388798	0.002005314	0.006811161	0.005623577	0.003612037	0.005826056	0.008856279	0.1480	0.9502	0.7173	0.2615	0.7510	0.7446	0.2516	0.9724	0.6112	*	*	*	*	*	*	*	*	*
16/12/2011	3	0.004873242	0.006874151	0.028902827	0.0068749	0.016851052	0.038688752	0.005847883	0.009347475	0.02801961	0.1529	0.9570	0.7462	0.2683	0.7678	0.7833	0.2574	0.9818	0.6392	5.9900	6.0300	6.1400	5.6700	6.0600	5.8500	5.6300	5.2900	5.8800
23/12/2011	3	0.00168641	0.003522412	0.018223649	0.003623692	0.002952366	0.009849248	0.004523045	0.002848699	0.011043256	0.1546	0.9606	0.7644	0.2720	0.7708	0.7931	0.2620	0.9846	0.6502	*	*	*	*	*	*	*	*	*
12/01/2012	3	0.006663047	0.003592359	0.0118507	0.003642589	0.009352347	0.009306794	0.00171249	0.002585145	0.011666931	0.1612	0.9642	0.7763	0.2756	0.7801	0.8024	0.2637	0.9872	0.6619	*	*	*	*	*	*	*	*	*
19/01/2012	3	0.001244126	0.00377439	0.008250042	0.001854201	0.024519017	0.00845206	0.000939683	0.002089746	0.004189133	0.1625	0.9679	0.7845	0.2775	0.8046	0.8109	0.2646	0.9893	0.6661	5.6900	5.8100	6.6100	5.8400	5.7900	6.0300	6.3100	5.1200	5.7900
26/01/2012	3	0.001844657	0.000318547	0.007631277	0.002073696	0.012694473	0.008042724	0.001946066	0.000742951	0.003085833	0.1643	0.9683	0.7922	0.2795	0.8173	0.8189	0.2666	0.9900	0.6692	*	*	*	*	*	*	*	*	*
9/02/2012	3	0.002575504	0.001717038	0.007525976	0.000608282	0.013001556	0.022845392	0.000736004	0.001361687	0.005716895	0.1669	0.9700	0.7997	0.2801	0.8303	0.8418	0.2673	0.9914	0.6749	*	*	*	*	*	*	*	*	*
16/02/2012	3	0.004052224	0.009812152	0.015336977	0.008344269	0.033382813	0.020981394	0.009051738	0.010518421	0.012590532	0.1709	0.9798	0.8150	0.2885	0.8637	0.8627	0.2763	1.0019	0.6875	*	*	*	*	*	*	*	*	*
28/02/2012	3	0.001120029	0.000385844	0.001524185	0.000771523	0.004142131	0.006821902	0.000357611	0.001206732	0.004239945	0.1721	0.9802	0.8165	0.2893	0.8679	0.8696	0.2767	1.0031	0.6917	*	*	*	*	*	*	*	*	*
23/02/2011	4	0.001470212	0.006091343	0.004406247	0.005181113	0.004589699	0.007595799	0.012288577	0.010201864	0.007163567	0.0015	0.0061	0.0044	0.0052	0.0046	0.0076	0.0123	0.0102	0.0072	*	*	*	*	*	*	*	*	*
25/02/2011	4	0.000949603	0.002446744	0.002731513	0.00294218	0.00262293	0.001602772	0.003843712	0.011288536	0.002747899	0.0024	0.0085	0.0071	0.0081	0.0072	0.0092	0.0161	0.0215	0.0099	*	*	*	*	*	*	*	*	*
1/03/2011	4	0.00057087	0.001703975	0.003438459	0.002340453	0.002494762	0.001228536	0.002542896	0.00622386	0.001251622	0.0030	0.0102	0.0106	0.0105	0.0097	0.0104	0.0187	0.0277	0.0112	*	*	*	*	*	*	*	*	*
4/03/2011	4	0.000841147	0.001172096	0.002332827	0.003899136	0.002724978	0.001001453	0.002851618	0.005827988	0.001872945	0.0038	0.0114	0.0129	0.0144	0.0124	0.0114	0.0215	0.0335	0.0130	*	*	*	*	*	*	*	*	*
10/03/2011	4	0.001413048	0.002878884	0.003082326	0.004911731	0.004608468	0.000777653	0.002597786	0.003582738	0.002268866	0.0052	0.0143	0.0160	0.0193	0.0170	0.0122	0.0241	0.0371	0.0153	*	*	*	*	*	*	*	*	*
16/03/2011	4	0.00127881	0.003886661	0.002831631	0.002943561	0.00422364	0.000865465	0.002514596	0.004168415	0.002099727	0.0065	0.0182	0.0188	0.0222	0.0213	0.0131	0.0266	0.0413	0.0174	*	*	*	*	*	*	*	*	*
28/03/2011	4	0.004142112	0.006844811	0.003952927	0.004758345	0.010382292	0.004984076	0.008253842	0.006621017	0.004106984	0.0107	0.0250	0.0228	0.0270	0.0316	0.0181	0.0349	0.0479	0.0215	*	*	*	*	*	*	*	*	*
29/03/2011	4	0.003546575	0.005045873	0.003123818	0.009680337	0.014978367	0.006839757	0.015795034	0.011609998	0.008099858	0.0142	0.0301	0.0259	0.0367	0.0466	0.0249	0.0507	0.0595	0.0296	*	*	*	*	*	*	*	*	*
31/03/2011	4	0.003527143	0.0029651	0.002267308	0.00601667	0.00825346	0.004504645	0.00797116	0.005974755	0.004447083	0.0177	0.0330	0.0282	0.0427	0.0549	0.0294	0.0587	0.0655	0.0341	*	*	*	*	*	*	*	*	*
5/04/2011	4	0.003767914	0.009867376	0.002269375	0.005612407	0.013704587	0.002919315	0.01384358	0.007444936	0.008229568	0.0215	0.0429	0.0304	0.0483	0.0686	0.0323	0.0725	0.0729	0.0423	*	*	*	*	*	*	*	*	*
8/04/2011	4	0.001384631	0.001862625	0.001003467	0.002579316	0.003239688	0.000535581	0.002738555	0.002933652	0.002047197	0.0229	0.0448	0.0314	0.0509	0.0718	0.0329	0.0752	0.0759	0.0443	*	*	*	*	*	*	*	*	*
14/04/2011	4	0.001618871	0.002517657	0.001257772	0.003709764	0.004390882	0.001248566	0.003186571	0.00416079	0.003138191	0.0245	0.0473	0.0327	0.0546	0.0762	0.0341	0.0784	0.0800	0.0475	*	*	*	*	*	*	*	*	*
21/04/2011	4	0.000868568	0.001527399	0.000585449	0.001989315	0.001244089	0.000972771	0.002470598	0.001296542	0.001701867	0.0254	0.0488	0.0333	0.0566	0.0775	0.0351	0.0809	0.0813	0.0492	*	*	*	*	*	*	*	*	*
28/04/2011	4	0.000789839	0.002137839	0.000794785	0.001524836	0.000985003	0.000894003	0.002505153	0.000975128	0.000961289	0.0262	0.0509	0.0341	0.0581	0.0784	0.0360	0.0834	0.0823	0.0501	*	*	*	*	*	*	*	*	*
5/05/2011	4	0.004769719	0.047279877	0.002503466	0.007030581	0.054600599	0.004064694	0.019185125	0.02333978	0.012593302	0.0309	0.0982	0.0366	0.0651	0.1330	0.0400	0.1026	0.1057	0.0627	*	*	*	*	*	*	*	*	*
10/05/2011	4	0.003362943	0.073338538	0.00540129	0.006491543	0.065099925	0.004269259	0.011084976	0.050999008	0.008278105	0.0343	0.1716	0.0420	0.0716	0.1981	0.0443	0.1137	0.1566	0.0710	*	*	*	*	*	*	*	*	*
12/05/2011	4	0.00330067	0.61127317	0.001542263	0.003792005	0.201196777	0.003887553	0.006892032	0.174277232	0.011235789	0.0376	0.7828	0.0435	0.0754	0.3993	0.0482	0.1206	0.3309	0.0822	*	*	*	*	*	*	*	*	*
17/05/2011	4	0.0016759	0.132801229	0.001241651	0.001575308	0.124746356	0.001061365	0.005385879	0.167185301	0.004195456	0.0393	0.9156	0.0448	0.0770	0.5241	0.0493	0.1260	0.4981	0.0864	*	*	*	*	*	*	*	*	*
19/05/2011	4	0.0007882	0.039984264	0.000639167	0.00132366	0.042386914	0.001111971	0.002544923	0.036360464	0.002220101	0.0401	0.9556	0.0454	0.0783	0.5665	0.0504	0.1285	0.5345	0.0887	*	*	*	*	*	*	*	*	*
27/05/2011	4	0.001397718	0.105013672	0.001650594	0.002085431	0.176765082	0.00358877	0.000817593	0.001000789	0.135135511	0.0415	1.0606	0.0471	0.0804	0.7432	0.0540	0.1293	0.5355	0.2238	*	*	*	*	*	*	*	*	*
1/06/2011	4	0.000497298	0.016594148	0.000432804	0.001406505	0.017575182	0.002429043	0.004229875	0.027054465	0.003040315	0.0420	1.0772	0.0475	0.0818	0.7608	0.0564	0.1335	0.5625	0.2268	*	*	*	*	*	*	*	*	*
3/06/2011	4	0.000764065	0.01337706	0.001489895	0.001268049	0.013551558	0.001530337	0.00456487	0.017284452	0.002168161	0.0427	1.0906	0.0490	0.0831	0.7744	0.0579	0.1381	0.5798	0.2290	*	*	*	*	*	*	*	*	*
7/06/2011	4	0.004658206	0.024654129	0.005296865	0.006085835	0.030386515	0.004309384	0.012995422	0.031216704	0.009141369	0.0474	1.1153	0.0543	0.0891	0.8048	0.0622	0.1511	0.6110	0.2381	*	*	*	*	*	*	*	*	*
9/06/2011	4	0.001377014	0.025459545	0.001959643	0.099257951	0.029785541	0.001659939	0.007731048	0.032573865	0.006381142	0.0488	1.1407	0.0562	0.1884	0.8345	0.0639	0.1588	0.6436	0.2445	*	*	*	*	*	*	*	*	*
16/06/2011	4	0.000640083	0.009488416	4.55324E-06	0.001814559	0.010806027	0.000897139	0.002032574	0.012732088	0.001141827	0.0494	1.1502	0.0562	0.1902	0.8453	0.0648	0.1609	0.6563	0.2457	*	*	*	*	*	*	*	*	*
23/06/2011	4	0.000400399	0.006557405	0.000645219	0.001616909	0.006496491	0.000717942	0.003536087	0.010059911	0.001894015	0.0498	1.1568	0.0569	0.1918	0.8518	0.0655	0.1644	0.6664	0.2476	*	*	*	*	*	*	*	*	*
30/06/2011	4	0.000336494	0.00805255	0.000218205	0.000625873	0.006296298	0.004791963	0.00213046	0.047464779	0.000599579	0.0501	1.1648	0.0571	0.1925	0.8581	0.0703	0.1665	0.7139	0.2482	*	*	*	*	*	*	*	*	*
8/07/2011	4	0.000790146	0.021027407	0.000464648	0.000348872	0.019167701	0.002115952	0.002331181	0.022609265	0.005153919	0.1014	2.3562	0.1150	0.3856	1.7417	0.1430	0.3367	1.4597	0.5062	6.2300	5.9800	5.9600	6.1800	5.7400	5.8000	5.8300	6.3500	6.0100
28/07/2011	4	0.000558745	0.011334244	1.56512E-05	0.000944153	0.013914538	0.000535207	0.002558252	0.015711653	0.005638038	0.0515	1.1972	0.0576	0.1938	0.8912	0.0729	0.1714	0.7522	0.2590	6.0800	6.0300	5.6400	6.3200	6.0100	5.9300	5.9700	5.8500	6.2000
