SimulationName   Clock.Today  PotatoHarvestRule.Script.FinalTag  Potato.Leaf.Live.Nconc  Potato.Stem.Live.Nconc  Potato.Tuber.Live.Nconc  Potato.Leaf.Live.Wt  Potato.Stem.Live.Wt  Potato.Tuber.Live.Wt  Potato.Summariser.Total.Live.Wt  Potato.Leaf.LAI  Potato.Leaf.LiveN  Potato.Stem.Live.N  Potato.Tuber.Live.N  Potato.Total.Live.N  Potato.Tuber.DMconc  Potato.Tuber.LiveFWt  Potato.Summariser.AboveGround.Live.Wt  Potato.Summariser.Aboveground.Live.N  ExtraVariables.Script.AccumTtemerg  Potato.Summariser.AboveGround.Dead.N  Potato.Summariser.AboveGroundDeadWt  Potato.Leaf.SpecificArea
()  (yyyy-mm-dd)  ()  (%)  (%)  (%)  (g/m2)  (g/m2)  (g/m2)  (g/m2)  ()  (g/m2)  (g/m2)  (g/m2)  (g/m2)  (%)  (g/m2)  (g/m2)  (g/m2)  (oCd)  (g/m2)  (g/m2)  (mm^2/g)
FUEFertiliser150early  2000-02-07  *  0.0314  0.0092  0.0127  107.53  173.20  1603.02  1883.75  3.69  3.34  1.64  20.23  25.22  *  *  280.73  0.50  983.99  *  *  34331.59
FUEFertiliser150early  2000-02-21  *  0.0367  0.0092  0.0124  50.18  179.63  1720.69  1950.50  1.58  1.80  1.66  21.20  24.66  *  *  229.81  0.35  1167.45  *  *  30429.55
FUEFertiliser150early  2000-03-06  *  0.0307  0.0071  0.0120  5.57  124.61  1736.91  1865.70  0.14  0.17  0.86  20.82  21.61  *  *  128.79  0.11  1344.95  *  *  25638.94
FUEFertiliser150early  2000-03-20  *  *  0.0061  0.0136  *  86.29  1553.13  1639.42  *  *  0.52  21.11  21.11  *  *  86.29  *  1501.65  *  *  *
FUEFertiliser150early  2000-04-03  yield  *  *  0.0138  *  101.14  1626.78  1727.92  *  *  *  22.45  22.45  0.223  7280.25  101.14  *  1652.43  *  *  *
FUEFertiliser275split  1999-12-15  *  0.0673  0.0439  0.0191  126.27  61.83  58.04  246.15  3.69  8.53  2.73  1.11  12.37  *  *  188.10  1.13  344.72  *  *  29292.76
FUEFertiliser275split  1999-12-28  *  0.0526  0.0297  0.0155  169.43  101.44  313.41  584.27  4.38  8.91  3.00  4.88  16.79  *  *  270.86  1.19  488.09  *  *  25685.21
FUEFertiliser275split  2000-01-11  *  0.0514  0.0206  0.0146  157.36  156.97  660.10  974.43  4.85  8.06  3.29  9.57  20.91  *  *  314.33  1.13  652.68  *  *  30304.06
FUEFertiliser275split  2000-01-24  *  0.0416  0.0153  0.0153  155.54  198.87  1009.08  1363.48  5.21  6.48  3.13  15.38  25.00  *  *  354.40  0.96  821.99  *  *  33437.63
FUEFertiliser275split  2000-02-07  *  0.0374  0.0143  0.0144  116.36  182.83  1469.03  1768.22  4.32  4.36  2.61  21.14  28.12  *  *  299.19  0.70  983.99  *  *  36344.98
