SimulationName  Clock.Today  Structure.MainStemNodeNo
()  (yyyy-mm-dd)  ()
Lincoln1993Sowing21Dec1993CultivarWhero  1994-02-25  23.70
Lincoln1993Sowing21Dec1993CultivarWhero  1994-03-04  24.81
Lincoln1993Sowing21Dec1993CultivarPatea  1993-12-21  0.00
Lincoln1993Sowing21Dec1993CultivarPatea  1994-01-10  3.00
Lincoln1993Sowing21Dec1993CultivarPatea  1994-01-14  4.30
Lincoln1993Sowing21Dec1993CultivarPatea  1994-01-18  5.93
Lincoln1993Sowing21Dec1993CultivarPatea  1994-01-21  6.80
Lincoln1993Sowing21Dec1993CultivarPatea  1994-01-25  8.30
Lincoln1993Sowing21Dec1993CultivarPatea  1994-01-28  9.20
Lincoln1993Sowing21Dec1993CultivarPatea  1994-02-01  10.40
Lincoln1993Sowing21Dec1993CultivarPatea  1994-02-04  11.57
Lincoln1993Sowing21Dec1993CultivarPatea  1994-02-08  12.53
Lincoln1993Sowing21Dec1993CultivarPatea  1994-02-11  14.10
Lincoln1993Sowing21Dec1993CultivarPatea  1994-02-15  15.04
Lincoln1993Sowing21Dec1993CultivarPatea  1994-02-18  16.07
Lincoln1993Sowing21Dec1993CultivarPatea  1994-02-22  16.63
Lincoln1993Sowing21Dec1993CultivarPatea  1994-02-25  17.48
Lincoln1993Sowing21Dec1993CultivarSolara  1994-01-10  2.73
Lincoln1993Sowing21Dec1993CultivarSolara  1994-01-14  4.60
Lincoln1993Sowing21Dec1993CultivarSolara  1994-01-18  6.10
Lincoln1993Sowing21Dec1993CultivarSolara  1994-01-21  7.53
Lincoln1993Sowing21Dec1993CultivarSolara  1994-01-25  8.87
Lincoln1993Sowing21Dec1993CultivarSolara  1994-01-28  9.67
Lincoln1993Sowing21Dec1993CultivarSolara  1994-02-01  11.27
Lincoln1993Sowing21Dec1993CultivarSolara  1994-02-04  12.43
Lincoln1993Sowing21Dec1993CultivarSolara  1994-02-08  13.50
Lincoln1993Sowing21Dec1993CultivarSolara  1994-02-11  15.57
Lincoln1993Sowing21Dec1993CultivarSolara  1994-02-15  16.60
Lincoln1993Sowing21Dec1993CultivarSolara  1994-02-18  17.93
Lincoln1993Sowing21Dec1993CultivarSolara  1994-02-22  18.10
Lincoln1993Sowing21Dec1993CultivarSolara  1994-02-25  18.93
Lincoln1993Sowing21Dec1993CultivarSolara  1994-02-04  12.65
Lincoln1993Sowing19Jan1994CultivarMassey  1994-02-01  1.50
Lincoln1993Sowing19Jan1994CultivarMassey  1994-02-04  2.00
Lincoln1993Sowing19Jan1994CultivarMassey  1994-02-08  2.90
