SimulationName	Treatment	Clock.Today	Barley.Leaf.Live.Wt	Barley.Stem.Wt	Barley.Ear.Wt	Barley.Grain.Wt	Barley.Chaff.Wt	TotalAboveGroundWt	Barley.Leaf.CoverGreen	Barley.Leaf.LAI
()	()	()	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(g/m2)	(g/m2)	()	(m2/m2)
RS_Barley_8889_EarlyDrought3	4	1989-01-05	*	*	*	*	*	*	*	4.46
RS_Barley_8889_EarlyDrought4	5	1989-01-05	*	*	*	*	*	6750	586	2.42
RS_Barley_8889_MiddleDrought1	6	1989-01-05	*	*	*	*	*	*	*	0
RS_Barley_8889_MiddleDrought2	7	1989-01-05	*	*	*	*	*	15900	701	0
RS_Barley_8889_MiddleDrought3	8	1989-01-05	181.1923599	327.3659294	628.4721063	579.145854	49.32625226	11370.30395	*	*
RS_Barley_8889_MiddleDrought4	9	1989-01-05	220.4264206	325.7699143	625.5065677	534.0427829	91.46378481	11717.02903	*	*
RS_Barley_8889_LateDrought1	10	1989-01-05	214.1992292	483.1704847	683.3037307	572.8303657	110.473365	13806.73445	*	*
RS_Barley_8889_Control	1	1989-01-10	*	*	*	*	*	14670	750	0
RS_Barley_8889_EarlyDrought1	2	1989-01-10	*	*	*	*	*	*	*	0.98
RS_Barley_8889_EarlyDrought2	3	1989-01-10	*	*	*	*	*	11440	728	0.8
RS_Barley_8889_EarlyDrought3	4	1989-01-10	*	*	*	*	*	*	*	3.74
RS_Barley_8889_EarlyDrought4	5	1989-01-10	*	*	*	*	*	8360	618	1.56
RS_Barley_8889_MiddleDrought1	6	1989-01-10	132.9984433	256.0612369	785.1776654	677.288278	107.8893873	11742.37346	*	*
RS_Barley_8889_MiddleDrought2	7	1989-01-10	*	*	*	*	*	14610	701	*
RS_Barley_8889_LateDrought2	11	1989-01-10	210.6048794	460.5824808	724.3984996	606.0479204	118.3505792	13955.8586	*	*
RS_Barley_8889_LateDrought3	12	1989-01-10	224.1138557	483.0172529	760.070102	637.0700308	123.0000712	14672.01211	*	*
RS_Barley_8889_Control	1	1989-01-14	186.5449099	453.7171223	941.3400074	843.5204098	97.8195976	15816.0204	*	*
RS_Barley_8889_EarlyDrought1	2	1989-01-14	*	*	*	*	*	*	*	0
RS_Barley_8889_EarlyDrought2	3	1989-01-14	*	*	*	*	*	13050	739	0.66
RS_Barley_8889_EarlyDrought3	4	1989-01-14	*	*	*	*	*	*	*	3.31
RS_Barley_8889_EarlyDrought4	5	1989-01-14	*	*	*	*	*	7770	637	1.27
RS_Barley_8889_MiddleDrought2	7	1989-01-14	196.3499293	325.0188475	712.7115994	614.7160167	97.99558265	12340.80376	*	*
RS_Barley_8889_EarlyDrought1	2	1989-01-20	124.1692483	351.8807806	726.1408598	631.3273072	94.81355257	12021.90889	*	*
RS_Barley_8889_EarlyDrought2	3	1989-01-20	*	*	*	*	*	*	*	0.11
RS_Barley_8889_EarlyDrought3	4	1989-01-20	*	*	*	*	*	*	*	0.63
RS_Barley_8889_EarlyDrought4	5	1989-01-20	*	*	*	*	*	*	*	0.63
RS_Barley_8889_EarlyDrought2	3	1989-01-24	*	*	*	*	*	*	*	0.06
RS_Barley_8889_EarlyDrought3	4	1989-01-24	*	*	*	*	*	*	*	0.3
RS_Barley_8889_EarlyDrought4	5	1989-01-24	*	*	*	*	*	*	*	0.63
RS_Barley_8889_EarlyDrought2	3	1989-01-26	*	*	*	*	*	*	*	0
RS_Barley_8889_EarlyDrought3	4	1989-01-26	*	*	*	*	*	*	*	0.08
RS_Barley_8889_EarlyDrought4	5	1989-01-26	*	*	*	*	*	*	*	0.6
RS_Barley_8889_EarlyDrought2	3	1989-02-01	143.5695406	310.9782892	685.226778	558.8633308	126.3634472	11397.74608	*	*
RS_Barley_8889_EarlyDrought3	4	1989-02-01	*	*	*	*	*	*	*	0
RS_Barley_8889_EarlyDrought4	5	1989-02-01	*	*	*	*	*	*	*	0.3
RS_Barley_8889_EarlyDrought3	4	1989-02-06	101.1436258	296.8669496	505.4322735	434.6991139	70.73315963	9034.42849	*	*
RS_Barley_8889_EarlyDrought4	5	1989-02-06	108.8816482	301.4524729	372.481816	318.5869987	53.89481736	7828.159371	*	*
