SimulationName OldName Clock.Today FodderBeet.Phenology.Stage FodderBeet.Phenology.StageX FodderBeet.Phenology.AccumulatedThermalTime.Value FodderBeet.Summariser.LiveDM FodderBeet.Bulb.Live.Wt FodderBeet.Petiole.Live.Wt FodderBeet.Leaf.Live.Wt FodderBeet.Total.Wt FodderBeet.TotalDead.Wt FodderBeet.Leaf.LAI FodderBeet.Leaf.PlantAppearedGreenLeafNo FodderBeet.Leaf.PlantAppearedLeafNo FodderBeet.Leaf.PlantSenescedLeafNo FodderBeet.Leaf.CoverGreen
() () () () () (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (m2/m2) () () () (0-1)
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-01-02 * * * * * * * * * * 21.5 26.7 5.2 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-01-08 * * * * * * * * * * 22.5 28.8 6.3 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-01-16 * * * * * * * * * * 23.4 31.3 7.9 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-01-22 * * * * * * * * * * 24.0 33.4 9.4 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-01-29 * * * * * * * * * * 25.9 35.8 9.9 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-02-03 * * * * * * * * * * 24.7 36.3 9.5 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-02-10 * * * * * * * * * * 25.8 37.7 9.8 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-02-19 * * * * * * * * * * 27.5 40.6 11.0 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-02-25 * * * * * * * * * * 27.8 43.0 13.0 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-03-04 * * * * * * * * * * 26.0 44.3 16.7 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-03-12 * * * * * * * * * * 25.3 47.6 19.5 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-03-18 * * * * * * * * * * 24.8 49.3 22.0 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-03-25 * * * * * * * * * * 24.0 51.5 24.8 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-04-01 * * * * * * * * * * 23.3 54.2 28.3 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-04-09 * * * * * * * * * * 23.5 56.7 26.7 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-04-15 * * * * * * * * * * 23.7 57.7 27.3 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-04-23 * * * * * * * * * * 24.5 60.4 33.7 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-04-30 * * * * * * * * * * 25.2 62.8 30.3 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-05-07 * * * * * * * * * * 25.5 64.2 31.1 *
Lincoln2014CvRiv_Sep FRNLRivageSD1 2015-05-14 * * * * * * * * * * 26.2 65.9 37.0 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2014-11-07 * * * * * * * * * * 5.9 5.9 0.0 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2014-11-13 * * * * * * * * * * 8.0 8.0 0.0 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2014-11-21 * * * * * * * * * * 10.5 10.5 0.0 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2014-11-27 * * * * * * * * * * 12.4 12.4 0.0 *
Lincoln2014CvBri_Sep FRNLBrigadierSD1 2014-12-04 * * * * * * * * * * 14.2 16.0 1.8 *
