SimulationName	Clock.Today	FodderBeet.Leaf.LAI	FodderBeet.Leaf.Live.Nconc	FodderBeet.Leaf.Live.Wt	FodderBeet.Petiole.Live.Wt	FodderBeet.Petiole.Live.Nconc	FodderBeet.TotalDead.Wt	FodderBeet.TotalDead.Nconc	FodderBeet.StorageRoot.Live.Wt	FodderBeet.StorageRoot.Live.Nconc	FodderBeet.AboveGround.Wt	FodderBeet.AboveGround.N	FodderBeet.Leaf.Live.N	FodderBeet.Petiole.Live.N	FodderBeet.StorageRoot.Live.N	FodderBeet.Phenology.Stage	FodderBeet.Structure.LeafTipsAppeared	FodderBeet.Leaf.CoverTotal	Soil.Temperature(1)	Soil.Temperature(2)	Soil.Temperature(3)	Soil.Temperature(4)	Soil.Temperature(5)	Soil.Temperature(6)	Soil.Temperature(7)	Soil.SoilNitrogen.mineral_n(1)	Soil.SoilNitrogen.mineral_n(2)	Soil.SoilNitrogen.mineral_n(3)	Soil.SoilNitrogen.mineral_n(4)	Soil.SoilNitrogen.mineral_n(5)	Soil.SoilNitrogen.mineral_n(6)	Soil.SoilNitrogen.NH4(1)	Soil.SoilNitrogen.NH4(2)	Soil.SoilNitrogen.NH4(3)	Soil.SoilNitrogen.NH4(4)	Soil.SoilNitrogen.NH4(5)	Soil.SoilNitrogen.NH4(6)	Soil.SoilNitrogen.NO3(1)	Soil.SoilNitrogen.NO3(2)	Soil.SoilNitrogen.NO3(3)	Soil.SoilNitrogen.NO3(4)	Soil.SoilNitrogen.NO3(5)	Soil.SoilNitrogen.NO3(6)	Soil.SoilNitrogen.ProfileMineralN	Soil.SoilNitrogen.ProfileNO3	Soil.SoilNitrogen.ProfileNH4	Soil.SoilWater.SW(1)	Soil.SoilWater.SW(2)	Soil.SoilWater.SW(3)	Soil.SoilWater.SW(4)	Soil.SoilWater.SW(5)	Soil.SoilWater.SW(6)	Soil.SoilWater.SW(7)	Soil.SoilWater.ProfileWater	Nit	Irr
LincolnRS2016IrrFullNit0	2016-11-19	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	18.06921836	17.54148151	16.62476615	15.45865104	15.06024922	14.41585573	13.96452708	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.209896875	0.2482375	0.24341875	0.23781875	0.21974375	0.264525	0.1764125	411.2957813	0	Full
LincolnRS2016IrrNilNit0	2016-11-19	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	17.97580169	17.63257552	16.60087995	15.38526328	15.04652917	14.42140052	13.9323875	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.211959375	0.24220625	0.24398125	0.2398125	0.2665	0.28481875	0.18720625	434.8204688	0	Nil
LincolnRS2016IrrFullNit300	2016-11-19	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	17.60458646	17.39139635	16.53503021	15.31670807	14.94507917	14.3881151	13.92473646	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.219640625	0.2297125	0.2677125	0.3130125	0.2819875	0.2114625	0.14808125	434.0798438	300	Full
LincolnRS2016IrrNilNit300	2016-11-19	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	18.07174727	17.29394922	16.53038672	15.3965138	14.98149766	14.34628516	13.96030911	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.2121375	0.26933125	0.2454	0.28733125	0.282575	0.28435625	0.20454375	463.4821875	300	Nil
LincolnRS2016IrrFullNit50	2016-11-19	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	17.8868487	17.59904219	16.5472276	15.31521667	14.93368542	14.38758229	13.90617266	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.222321875	0.24374375	0.25026875	0.3043875	0.26751875	0.24098125	0.13518125	429.4110938	50	Full
LincolnRS2016IrrNilNit50	2016-11-19	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	17.89281107	17.4386513	16.6619026	15.4279862	15.02282682	14.3991612	13.95102344	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.205746875	0.23893125	0.24908125	0.2760375	0.26136875	0.2522125	0.12255	415.0767188	50	Nil
LincolnRS2016IrrFullNit0	2016-11-20	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	17.40180924	18.12859714	17.36410182	15.69648724	15.06493464	14.41625156	13.98522161	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.20829375	0.2483875	0.24351875	0.23776875	0.2196125	0.26449375	0.1764125	411.0440625	0	Full
LincolnRS2016IrrNilNit0	2016-11-20	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	17.28647344	18.2411638	17.37135677	15.63091771	15.05142813	14.41870417	13.95403958	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.210659375	0.24245625	0.24424375	0.2397	0.2665	0.284875	0.18720625	434.7248438	0	Nil
LincolnRS2016IrrFullNit300	2016-11-20	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	16.90698034	18.02851953	17.31412943	15.54842917	14.94027604	14.38154453	13.94491823	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.21793125	0.230025	0.26824375	0.31295	0.281725	0.21136875	0.1480875	433.9059375	300	Full
LincolnRS2016IrrNilNit300	2016-11-20	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	17.39670039	17.95042917	17.28179375	15.65083177	14.98483594	14.34467995	13.9809375	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	0.210134375	0.26953125	0.24564375	0.28735625	0.28248125	0.2842875	0.20445625	463.2173438	300	Nil
