Region  Soil ForageNo ForageName YearNum    Year CutNum   Month       Growth   NPerCent Priority    BP1     BP2
   ()     ()      ()       ()       ()        ()  ()       ()           ()          ()      ()      ()      ()
    1      3     4    Mucuna         9      2009   6        10         165         3.0       1     100       0
    1      3     4    Mucuna         10     2010   1        5            0         0.0       1       0       0
    1      3     4    Mucuna         10     2010   2        6            0         0.0       1       0       0
    1      3     4    Mucuna         10     2010   3        7            0         0.0       1       0       0
    1      3     4    Mucuna         10     2010   4        8          550         3.0       1       0       0
    1      3     4    Mucuna         10     2010   5        9            0         0.0       1       0       0
    1      3     4    Mucuna         10     2010   6        10         550         3.0       1     600       0
    1      3     5    PigeonPea      1      2001   1        5            0         0.0       1       0       0
    1      3     5    PigeonPea      1      2001   2        6            0         0.0       1       0       0
    1      3     5    PigeonPea      1      2001   3        7            0         0.0       1       0       0
    1      3     5    PigeonPea      1      2001   4        8          340         3.0       1       0       0
    1      3     5    PigeonPea      1      2001   5        9            0         0.0       1       0       0
    1      3     5    PigeonPea      1      2001   6        10         340         3.0       1     200       0
    1      3     5    PigeonPea      2      2002   1        5            0         0.0       1       0       0
    1      3     5    PigeonPea      2      2002   2        6            0         0.0       1       0       0
    1      3     5    PigeonPea      2      2002   3        7            0         0.0       1       0       0
    1      3     5    PigeonPea      2      2002   4        8          340         3.0       1       0       0
    1      3     5    PigeonPea      2      2002   5        9            0         0.0       1       0       0
    1      3     5    PigeonPea      2      2002   6        10         340         3.0       1     200       0
    1      3     5    PigeonPea      3      2003   1        5            0         0.0       1       0       0
    1      3     5    PigeonPea      3      2003   2        6            0         0.0       1       0       0
    1      3     5    PigeonPea      3      2003   3        7            0         0.0       1       0       0
    1      3     5    PigeonPea      3      2003   4        8          680         3.0       1       0       0
    1      3     5    PigeonPea      3      2003   5        9            0         0.0       1       0       0
    1      3     5    PigeonPea      3      2003   6        10         680         3.0       1     400       0
    1      3     5    PigeonPea      4      2004   1        5            0         0.0       1       0       0
    1      3     5    PigeonPea      4      2004   2        6            0         0.0       1       0       0
    1      3     5    PigeonPea      4      2004   3        7            0         0.0       1       0       0
    1      3     5    PigeonPea      4      2004   4        8          680         3.0       1       0       0
    1      3     5    PigeonPea      4      2004   5        9            0         0.0       1       0       0
    1      3     5    PigeonPea      4      2004   6        10         680         3.0       1     400       0
    1      3     5    PigeonPea      5      2005   1        5            0         0.0       1       0       0
    1      3     5    PigeonPea      5      2005   2        6            0         0.0       1       0       0
    1      3     5    PigeonPea      5      2005   3        7            0         0.0       1       0       0
    1      3     5    PigeonPea      5      2005   4        8          680         3.0       1       0       0
    1      3     5    PigeonPea      5      2005   5        9            0         0.0       1       0       0
    1      3     5    PigeonPea      5      2005   6        10         680         3.0       1     400       0
    1      3     5    PigeonPea      6      2006   1        5            0         0.0       1       0       0
    1      3     5    PigeonPea      6      2006   2        6            0         0.0       1       0       0
    1      3     5    PigeonPea      6      2006   3        7            0         0.0       1       0       0
    1      3     5    PigeonPea      6      2006   4        8         1020         3.0       1       0       0
    1      3     5    PigeonPea      6      2006   5        9            0         0.0       1       0       0
    1      3     5    PigeonPea      6      2006   6        10        1020         3.0       1     600       0
    1      3     5    PigeonPea      7      2007   1        5            0         0.0       1       0       0
    1      3     5    PigeonPea      7      2007   2        6            0         0.0       1       0       0
    1      3     5    PigeonPea      7      2007   3        7            0         0.0       1       0       0
    1      3     5    PigeonPea      7      2007   4        8          680         3.0       1       0       0
    1      3     5    PigeonPea      7      2007   5        9            0         0.0       1       0       0
    1      3     5    PigeonPea      7      2007   6        10         680         3.0       1     400       0
    1      3     5    PigeonPea      8      2008   1        5            0         0.0       1       0       0
    1      3     5    PigeonPea      8      2008   2        6            0         0.0       1       0       0
    1      3     5    PigeonPea      8      2008   3        7            0         0.0       1       0       0
    1      3     5    PigeonPea      8      2008   4        8          680         3.0       1       0       0
    1      3     5    PigeonPea      8      2008   5        9            0         0.0       1       0       0
    1      3     5    PigeonPea      8      2008   6        10         680         3.0       1     400       0
    1      3     5    PigeonPea      9      2009   1        5            0         0.0       1       0       0
    1      3     5    PigeonPea      9      2009   2        6            0         0.0       1       0       0
    1      3     5    PigeonPea      9      2009   3        7            0         0.0       1       0       0
    1      3     5    PigeonPea      9      2009   4        8          340         3.0       1       0       0
    1      3     5    PigeonPea      9      2009   5        9            0         0.0       1       0       0
    1      3     5    PigeonPea      9      2009   6        10         340         3.0       1     200       0
    1      3     5    PigeonPea      10     2010   1        5            0         0.0       1       0       0
    1      3     5    PigeonPea      10     2010   2        6            0         0.0       1       0       0
    1      3     5    PigeonPea      10     2010   3        7            0         0.0       1       0       0
    1      3     5    PigeonPea      10     2010   4        8         1020         3.0       1       0       0
    1      3     5    PigeonPea      10     2010   5        9            0         0.0       1       0       0
    1      3     5    PigeonPea      10     2010   6        10        1020         3.0       1     600       0
    1      3     6    Gamal          1      2001   1        6            0         0.0       3       0       0
    1      3     6    Gamal          1      2001   2        7         1200         3.0       3       0       0
    1      3     6    Gamal          1      2001   3        8            0         0.0       3       0       0
    1      3     6    Gamal          1      2001   4        9         1200         3.0       3       0       0
    1      3     6    Gamal          1      2001   5        10           0         0.0       3       0       0
    1      3     6    Gamal          1      2001   6        11        1200         3.0       3       0       0
    1      3     6    Gamal          2      2002   1        6            0         0.0       3       0       0
    1      3     6    Gamal          2      2002   2        7         1200         3.0       3       0       0
    1      3     6    Gamal          2      2002   3        8            0         0.0       3       0       0
    1      3     6    Gamal          2      2002   4        9         1200         3.0       3       0       0
    1      3     6    Gamal          2      2002   5        10           0         0.0       3       0       0
    1      3     6    Gamal          2      2002   6        11        1200         3.0       3       0       0
    1      3     6    Gamal          3      2003   1        6            0         0.0       3       0       0
    1      3     6    Gamal          3      2003   2        7         1500         3.0       3       0       0
    1      3     6    Gamal          3      2003   3        8            0         0.0       3       0       0
    1      3     6    Gamal          3      2003   4        9         1500         3.0       3       0       0
    1      3     6    Gamal          3      2003   5        10           0         0.0       3       0       0
    1      3     6    Gamal          3      2003   6        11        1500         3.0       3       0       0
    1      3     6    Gamal          4      2004   1        6            0         0.0       3       0       0
    1      3     6    Gamal          4      2004   2        7         1500         3.0       3       0       0
    1      3     6    Gamal          4      2004   3        8            0         0.0       3       0       0
    1      3     6    Gamal          4      2004   4        9         1500         3.0       3       0       0
    1      3     6    Gamal          4      2004   5        10           0         0.0       3       0       0
    1      3     6    Gamal          4      2004   6        11        1500         3.0       3       0       0
    1      3     6    Gamal          5      2005   1        6            0         0.0       3       0       0
    1      3     6    Gamal          5      2005   2        7         1500         3.0       3       0       0
    1      3     6    Gamal          5      2005   3        8            0         0.0       3       0       0
    1      3     6    Gamal          5      2005   4        9         1500         3.0       3       0       0
    1      3     6    Gamal          5      2005   5        10           0         0.0       3       0       0
    1      3     6    Gamal          5      2005   6        11        1500         3.0       3       0       0
    1      3     6    Gamal          6      2006   1        6            0         0.0       3       0       0
    1      3     6    Gamal          6      2006   2        7         1900         3.0       3       0       0
    1      3     6    Gamal          6      2006   3        8            0         0.0       3       0       0
    1      3     6    Gamal          6      2006   4        9         1900         3.0       3       0       0
    1      3     6    Gamal          6      2006   5        10           0         0.0       3       0       0
    1      3     6    Gamal          6      2006   6        11        1900         3.0       3       0       0
    1      3     6    Gamal          7      2007   1        6            0         0.0       3       0       0
    1      3     6    Gamal          7      2007   2        7         1500         3.0       3       0       0
    1      3     6    Gamal          7      2007   3        8            0         0.0       3       0       0
    1      3     6    Gamal          7      2007   4        9         1500         3.0       3       0       0
    1      3     6    Gamal          7      2007   5        10           0           0       3       0       0
    1      3     6    Gamal          7      2007   6        11        1500           3       3       0       0
    1      3     6    Gamal          8      2008   1        6            0           0       3       0       0
    1      3     6    Gamal          8      2008   2        7         1500           3       3       0       0
    1      3     6    Gamal          8      2008   3        8            0           0       3       0       0
    1      3     6    Gamal          8      2008   4        9         1500           3       3       0       0
    1      3     6    Gamal          8      2008   5        10           0           0       3       0       0
