SimulationName,Genotype,BiomassWt,GrainNo,GrainSize,GrainGreenWt,LAIMax,GrainGreenN,NWSTEM,NWTASSEL,biomass_n,Stage,stem_wt,stemflower_wt,tassel_wt,LeafNo,DaysAfterSowing
BMW2SiteTreatment57,Katumani,,,,,2.7,,,,,,,,,,
BMW2SiteTreatment58,Katumani,,,,,2.4,,,,,,,,,,
BMW2SiteTreatment59,Katumani,,,,,2.3,,,,,,,,,,
BMW2SiteTreatment60,Katumani,,,,,2,,,,,,,,,,
Gains_Year1982,usa_18leaf,,,,,4,,,,,,,,,,
Gains_Year1983,usa_18leaf,,,,,3.9,,,,,,,,,,
JMW2KatumaniPopulation1.1FertiliserN0,Katumani,,,,,,,,,,,,,,,
JMW2KatumaniPopulation2.17FertiliserN0,Katumani,,,,,,,,,,,,,,,
JMW2KatumaniPopulation4.19FertiliserN0,Katumani,,,,,,,,,,,,,,,
JMW2KatumaniPopulation6.26FertiliserN0,Katumani,,,,,,,,,,,,,,,
JMW2KatumaniPopulation7.33FertiliserN0,Katumani,,,,,,,,,,,,,,,
JMW2KatumaniPopulation1.1FertiliserN120,Katumani,,,,,,,,,,,,,,,
JMW2KatumaniPopulation2.17FertiliserN120,Katumani,,,,,,,,,,,,,,,
JMW2KatumaniPopulation4.19FertiliserN120,Katumani,,,,,,,,,,,,,,,
JMW2KatumaniPopulation6.26FertiliserN120,Katumani,,,,,,,,,,,,,,,
JMW2KatumaniPopulation7.33FertiliserN120,Katumani,,,,,,,,,,,,,,,
JMW2KibokoPopulation1.1FertiliserN0,Katumani,,,,,0.5,,,,,,,,,,
JMW2KibokoPopulation2.18FertiliserN0,Katumani,,,,,0.8,,,,,,,,,,
JMW2KibokoPopulation4.23FertiliserN0,Katumani,,,,,1.4,,,,,,,,,,
JMW2KibokoPopulation6.22FertiliserN0,Katumani,,,,,1.8,,,,,,,,,,
JMW2KibokoPopulation7.91FertiliserN0,Katumani,,,,,1.4,,,,,,,,,,
JMW2KibokoPopulation1.1FertiliserN120,Katumani,,,,,0.5,,,,,,,,,,
JMW2KibokoPopulation2.18FertiliserN120,Katumani,,,,,0.8,,,,,,,,,,
JMW2KibokoPopulation4.23FertiliserN120,Katumani,,,,,1.7,,,,,,,,,,
JMW2KibokoPopulation6.22FertiliserN120,Katumani,,,,,2.8,,,,,,,,,,
JMW2KibokoPopulation7.91FertiliserN120,Katumani,,,,,2.7,,,,,,,,,,
DRKSowDate1991-08-14Cultivargh_5009,GH_5009,,,,,5.4,,,,,,,,,,
DRKSowDate1991-08-14Cultivarhycorn_40,Hycorn_40,,,,,4.8,,,,,,,,,,
DRKSowDate1991-08-14Cultivargh_5019wx,GH_5019WX,,,,,4.8,,,,,,,,,,
DRKSowDate1991-12-11Cultivargh_5009,GH_5009,,,,,3.9,,,,,,,,,,
DRKSowDate1991-12-11Cultivarhycorn_40,Hycorn_40,,,,,3.4,,,,,,,,,,
DRKSowDate1991-12-11Cultivargh_5019wx,GH_5019WX,,,,,4.3,,,,,,,,,,
DRKSowDate1991-02-20Cultivargh_5009,GH_5009,,,,,4.2,,,,,,,,,,
DRKSowDate1991-02-20Cultivarhycorn_40,Hycorn_40,,,,,3.5,,,,,,,,,,
DRKSowDate1991-02-20Cultivarhycorn_50,Hycorn_50,,,,,3.9,,,,,,,,,,
DRKSowDate1991-02-20Cultivargh_5019wx,GH_5019WX,,,,,3.8,,,,,,,,,,
DRKSowDate1991-01-31Cultivargh_5009,GH_5009,,,,,3.8,,,,,,,,,,
DRKSowDate1991-01-31Cultivarhycorn_40,Hycorn_40,,,,,3.2,,,,,,,,,,
DRKSowDate1991-01-31Cultivarhycorn_50,Hycorn_50,,,,,3.1,,,,,,,,,,
DRKSowDate1991-01-31Cultivargh_5019wx,GH_5019WX,,,,,4,,,,,,,,,,
DRKSowDate1991-03-12Cultivargh_5009,GH_5009,,,,,3.5,,,,,,,,,,
DRKSowDate1991-03-12Cultivarhycorn_40,Hycorn_40,,,,,2.7,,,,,,,,,,
DRKSowDate1991-03-12Cultivarhycorn_50,Hycorn_50,,,,,2.9,,,,,,,,,,
DRKSowDate1991-03-12Cultivargh_5019wx,GH_5019WX,,,,,3.5,,,,,,,,,,
DRKSowDate1991-11-07Cultivargh_5009,GH_5009,,,,,4.4,,,,,,,,,,
DRKSowDate1991-11-07Cultivarhycorn_40,Hycorn_40,,,,,4.2,,,,,,,,,,
DRKSowDate1991-11-07Cultivargh_5019wx,GH_5019WX,,,,,4.7,,,,,,,,,,
DRKSowDate1991-10-10Cultivargh_5009,GH_5009,,,,,4.8,,,,,,,,,,
DRKSowDate1991-10-10Cultivarhycorn_40,Hycorn_40,,,,,4.2,,,,,,,,,,
DRKSowDate1991-10-10Cultivargh_5019wx,GH_5019WX,,,,,4.2,,,,,,,,,,
DRKSowDate1991-09-19Cultivargh_5009,GH_5009,,,,,5,,,,,,,,,,
DRKSowDate1991-09-19Cultivarhycorn_40,Hycorn_40,,,,,4.4,,,,,,,,,,
DRKSowDate1991-09-19Cultivargh_5019wx,GH_5019WX,,,,,4.4,,,,,,,,,,
Angelo00FertN0,DEA,,,,,2.836666667,,,,,,,,,,
Angelo00FertN150,DEA,,,,,3.016666667,,,,,,,,,,
Angelo00FertN250,DEA,,,,,2.99,,,,,,,,,,
Maize_Exp1 2ND Yr3_4,DEA,,,,,1.756666667,,,,,,,,,,
Angelo98FertN0,DEA,,,,,2.496666667,,,,,,,,,,
Angelo98FertN50,DEA,,,,,3.116666667,,,,,,,,,,
Angelo98FertN250,DEA,,,,,3.6,,,,,,,,,,
Angelo99FertN10,DEA,,,,,1.663333333,,,,,,,,,,
Angelo99FertN70,DEA,,,,,2.673333333,,,,,,,,,,
Angelo99FertN300,DEA,,,,,3.693333333,,,,,,,,,,
Maize_G5N2_G5N2,Dekalb_XL82,,,,,4.5,,,,,,,,,,
Maize_G6N2_G6N2,Dekalb_XL82,,,,,4.7,,,,,,,,,,
Maize_G7N2_G7N2,Dekalb_XL82,,,,,4.9,,,,,,,,,,
Maize_Gatton-89_m1g5n1,Dekalb_XL82,,,,,2.753,,,,,,,,,,
Maize_Gatton-89_m1g5n2,Dekalb_XL82,,,,,3.976,,,,,,,,,,
Maize_Gatton-90-Early_m1g6n1,Dekalb_XL82,,,,,1.242,,,,,,,,,,
Maize_Gatton-90-Early_m1g6n2,Dekalb_XL82,,,,,3.907,,,,,,,,,,
Maize_Gatton-90-Late_m1g7n1,Dekalb_XL82,,,,,1.778,,,,,,,,,,
Maize_Gatton-90-Late_m1g7n2,Dekalb_XL82,,,,,4.448,,,,,,,,,,
Maize_Gatton-91_m1g8n1,Dekalb_XL82,,,,,1.924,,,,,,,,,,
Maize_Gatton-91_m1g8n2,Dekalb_XL82,,,,,3.63,,,,,,,,,,
K841Population7IrrigationDryCultivarhycorn_9,Hycorn_9,,,,,,,,,,,,,,,
K841Population7IrrigationWetCultivarhycorn_9,Hycorn_9,,,,,,,,,,,,,,,
K841Population3IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K841Population3IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K841Population5IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K841Population5IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K841Population7IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K841Population7IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K841Population9IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K841Population9IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K841Population7IrrigationDryCultivarQK_694,QK_694,,,,,,,,,,,,,,,
K841Population7IrrigationWetCultivarQK_694,QK_694,,,,,,,,,,,,,,,
K841Population7IrrigationDryCultivarsargeant,Sargeant,,,,,,,,,,,,,,,
K841Population7IrrigationWetCultivarsargeant,Sargeant,,,,,,,,,,,,,,,
K842Population7IrrigationDryCultivarhycorn_9,Hycorn_9,,,,,,,,,,,,,,,
K842Population7IrrigationWetCultivarhycorn_9,Hycorn_9,,,,,,,,,,,,,,,
K842Population3IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K842Population3IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K842Population5IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K842Population5IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K842Population7IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K842Population7IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K842Population9IrrigationDryCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K842Population9IrrigationWetCultivardekalb_xl82,Dekalb_XL82,,,,,,,,,,,,,,,
K842Population7IrrigationDryCultivarQK_694,QK_694,,,,,,,,,,,,,,,
K842Population7IrrigationWetCultivarQK_694,QK_694,,,,,,,,,,,,,,,
K842Population7IrrigationDryCultivarsargeant,Sargeant,,,,,,,,,,,,,,,
K842Population7IrrigationWetCultivarsargeant,Sargeant,,,,,,,,,,,,,,,
Maize_K88_K88BRKR,Barker,,,,,3.9,,,,,,,,,,
Maize_K88_K88KCB,Katumani,,,,,2.5,,,,,,,,,,
Maize_K88_K88P6875,Pioneer_6875,,,,,3.7,,,,,,,,,,
Maize_K88_K88XL82,Dekalb_XL82,,,,,2.8,,,,,,,,,,
Maize_M_S4N5_M1S4N5,Dekalb_XL82,,,,,3.8,,,,,,,,,,
Maize_M_S5N3_M1S5N3,Dekalb_XL82,,,,,4,,,,,,,,,,
Maize_M_S5N3_M2S5N3,Dekalb_XL82,,,,,3.5,,,,,,,,,,
Maize_MSN_M1S1,Dekalb_XL82,,,,,3.7,,,,,,,,,,
Maize_MSN_M1S2,Dekalb_XL82,,,,,3.5,,,,,,,,,,
Maize_MSN_M1S3,Dekalb_XL82,,,,,3.5,,,,,,,,,,
Maize_MSN_M2S1,Dekalb_XL82,,,,,3.5,,,,,,,,,,
Maize_MSN_M2S2,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_MSN_M2S3,Dekalb_XL82,,,,,3.4,,,,,,,,,,
Maize_MSN_M3S1,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_MSN_M3S2,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_MSN_M3S3,Dekalb_XL82,,,,,,,,,,,,,,,
Maize_UQG_UQG6875,Pioneer_6875,,,,,,,,,,,,,,,
Maize_UQG_UQGBARKR,Barker,,,,,,,,,,,,,,,
Maize_UQG_UQGKCB,Katumani,,,,,,,,,,,,,,,
Maize_UQG_UQGXL82,Dekalb_XL82,,,,,4.8,,,,,,,,,,
